Date,Open,High,Low,Close
2017-01-04 00:00:00-05:00,26.82249906,26.97530828,26.79934663,26.86185837
2017-01-05 00:00:00-05:00,26.83871169,27.05634846,26.81324348,26.99846649
2017-01-06 00:00:00-05:00,27.03782232,27.35733188,26.96604925,27.29944992
2017-01-09 00:00:00-05:00,27.30871222,27.65137425,27.30639821,27.54950142
2017-01-10 00:00:00-05:00,27.49855966,27.63979178,27.38974307,27.57728004
2017-01-11 00:00:00-05:00,27.49161832,27.76713705,27.45920456,27.72546196
2017-01-12 00:00:00-05:00,27.52866294,27.62127444,27.36890816,27.60969734
2017-01-13 00:00:00-05:00,27.57728018,27.69535987,27.50782112,27.5610733
2017-01-17 00:00:00-05:00,27.39900528,27.83890855,27.37122307,27.78334236
2017-01-18 00:00:00-05:00,27.7833388,27.89910271,27.71619552,27.78102303
2017-01-19 00:00:00-05:00,27.64442667,27.80417969,27.63748111,27.73240662
2017-01-20 00:00:00-05:00,27.88752919,27.88752919,27.72083062,27.78334236
2017-01-23 00:00:00-05:00,27.78334769,27.97088472,27.7300955,27.80187035
2017-01-24 00:00:00-05:00,27.67916023,27.80649951,27.66758313,27.77640152
2017-01-25 00:00:00-05:00,27.880586,28.2695529,27.84817224,28.21861649
2017-01-26 00:00:00-05:00,28.169998,28.34827547,28.15379112,28.23251152
2017-01-27 00:00:00-05:00,28.278816,28.32743664,28.15379073,28.23482513
2017-01-30 00:00:00-05:00,27.99866348,28.16073227,27.93615173,28.16073227
2017-01-31 00:00:00-05:00,28.04960044,28.10516663,27.92689096,28.0959053
2017-02-01 00:00:00-05:00,29.41098353,30.21207148,29.40635375,29.80921173
2017-02-02 00:00:00-05:00,29.63093292,29.95738625,29.5846263,29.75827217
2017-02-03 00:00:00-05:00,29.70733697,29.9110826,29.6726092,29.8856144
2017-02-06 00:00:00-05:00,29.89719044,30.21438244,29.84393649,30.16576004
2017-02-07 00:00:00-05:00,30.22364602,30.58251492,30.20280936,30.45285988
2017-02-08 00:00:00-05:00,30.41117736,30.61260541,30.38107762,30.57092857
2017-02-09 00:00:00-05:00,30.61279493,30.79882099,30.48955342,30.79184532
2017-02-10 00:00:00-05:00,30.80115325,30.91276748,30.70581439,30.72208977
2017-02-13 00:00:00-05:00,30.94531668,31.1173914,30.8685808,30.99414635
2017-02-14 00:00:00-05:00,31.03599104,31.41269108,30.98483381,31.39641571
2017-02-15 00:00:00-05:00,31.51270547,31.68710429,31.30342476,31.51037788
2017-02-16 00:00:00-05:00,31.54756616,31.60104744,31.35456448,31.47315788
2017-02-17 00:00:00-05:00,31.41503368,31.58478082,31.41503368,31.55920219
2017-02-21 00:00:00-05:00,31.67777538,31.79869279,31.61964249,31.78706551
2017-02-22 00:00:00-05:00,31.72430379,31.88475126,31.64989547,31.88242722
2017-02-23 00:00:00-05:00,31.94520816,31.9684592,31.69407348,31.74755478
2017-02-24 00:00:00-05:00,31.60338367,31.77778244,31.45688756,31.77778244
2017-02-27 00:00:00-05:00,31.88938266,31.95914285,31.68940535,31.84054947
2017-02-28 00:00:00-05:00,31.87543635,31.95914788,31.78707319,31.85450935
2017-03-01 00:00:00-05:00,32.06380252,32.58932299,31.99636987,32.50561142
2017-03-02 00:00:00-05:00,32.55443053,32.61953911,32.26609001,32.31259918
2017-03-03 00:00:00-05:00,32.27074137,32.5149003,32.22655979,32.50327301
2017-03-06 00:00:00-05:00,32.4079385,32.5009533,32.22889166,32.40096283
2017-03-07 00:00:00-05:00,32.33586297,32.54979174,32.27307841,32.44282913
2017-03-08 00:00:00-05:00,32.31027212,32.50792544,32.28004542,32.32189941
2017-03-09 00:00:00-05:00,32.26144863,32.27307237,31.86846949,32.24749374
2017-03-10 00:00:00-05:00,32.38002885,32.40560747,32.23818441,32.35445023
2017-03-13 00:00:00-04:00,32.28702044,32.42188567,32.28004478,32.36840439
2017-03-14 00:00:00-04:00,32.39165669,32.47304063,32.28469058,32.31957245
2017-03-15 00:00:00-04:00,32.41723331,32.72882482,32.32887016,32.66139221
2017-03-16 00:00:00-04:00,32.72184993,32.79161013,32.61488383,32.71487427
2017-03-17 00:00:00-04:00,32.78695678,32.78695678,32.52884656,32.55210114
2017-03-20 00:00:00-04:00,32.64743821,32.90322442,32.60790826,32.89392471
2017-03-21 00:00:00-04:00,33.04507505,33.20552246,32.49164855,32.51722717
2017-03-22 00:00:00-04:00,32.51955542,32.92648584,32.49862487,32.8846283
2017-03-23 00:00:00-04:00,32.8474277,32.92183955,32.69628351,32.76836777
2017-03-24 00:00:00-04:00,32.9032436,32.9590525,32.6358335,32.70326614
2017-03-27 00:00:00-04:00,32.4125827,32.83811599,32.23353235,32.75905609
2017-03-28 00:00:00-04:00,32.76603678,33.49385846,32.69860061,33.43805313
2017-03-29 00:00:00-04:00,33.41014812,33.59850175,33.29620987,33.51246262
2017-03-30 00:00:00-04:00,33.52873365,33.60081788,33.36828627,33.46827316
2017-03-31 00:00:00-04:00,33.41944984,33.54734296,33.2543508,33.4054985
2017-04-03 00:00:00-04:00,33.41713014,33.51246543,33.26365837,33.41480255
2017-04-04 00:00:00-04:00,33.31016322,33.69151503,33.29156026,33.66361237
2017-04-05 00:00:00-04:00,33.53571384,33.82405436,33.44037502,33.48920822
2017-04-06 00:00:00-04:00,33.55199103,33.60547587,33.3566653,33.4054985
2017-04-07 00:00:00-04:00,33.42178006,33.52641861,33.31481746,33.33109283
2017-04-10 00:00:00-04:00,33.3915516,33.45666019,33.22877658,33.29156113
2017-04-11 00:00:00-04:00,33.23806844,33.33340725,32.56837628,32.93345261
2017-04-12 00:00:00-04:00,32.92648251,33.05437208,32.78928614,32.97298813
